Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
18,tt8430598,2020-04-02,2020-04-02,,Shirley,https://www.imdb.com/title/tt8430598/,movie,6.2,107,2020,"Biography, Drama, Mystery, Thriller",6991,2020-01-25,Josephine Decker
19,tt9683478,2020-05-30,2020-05-30,,The Half of It,https://www.imdb.com/title/tt9683478/,movie,6.9,104,2020,"Comedy, Drama, Romance",27175,2020-05-01,Alice Wu
20,tt11079148,2020-06-09,2020-06-09,,Justice League Dark: Apokolips War,https://www.imdb.com/title/tt11079148/,video,7.8,90,2020,"Animation, Action, Sci-Fi",14290,2020-05-05,"Christina Sotta, Matt Peters"
21,tt8637440,2020-06-09,2020-06-09,,The Climb,https://www.imdb.com/title/tt8637440/,movie,6.9,98,2019,"Comedy, Drama",1464,2019-05-17,Michael Angelo Covino
22,tt8936646,2020-07-05,2020-07-05,,Extraction,https://www.imdb.com/title/tt8936646/,movie,6.7,116,2020,"Action, Thriller",155196,2020-04-24,Sam Hargrave
23,tt8580274,2020-07-05,2020-07-05,,Eurovision Song Contest: The Story of Fire Saga,https://www.imdb.com/title/tt8580274/,movie,6.5,123,2020,"Comedy, Music",71160,2020-06-26,David Dobkin
24,tt8503618,2020-07-05,2020-07-05,,Hamilton,https://www.imdb.com/title/tt8503618/,movie,8.6,160,2020,"Biography, Drama, History, Musical",52686,2020-07-03,Thomas Kail
25,tt8637504,2020-07-05,2020-07-05,,Disclosure: Trans Lives on Screen,https://www.imdb.com/title/tt8637504/,movie,8.3,108,2020,Documentary,3574,2020-01-27,Sam Feder
26,tt4323594,2020-07-05,2020-07-05,,Ya no estoy aqui,https://www.imdb.com/title/tt4323594/,movie,7.3,112,2019,Drama,4660,2019-07-13,Fernando Frias
27,tt7504726,2020-07-05,2020-07-05,,The Call of the Wild,https://www.imdb.com/title/tt7504726/,movie,6.8,100,2020,"Adventure, Drama, Family",36802,2020-02-19,Chris Sanders
28,tt5918982,2020-09-01,2020-09-01,,Possessor,https://www.imdb.com/title/tt5918982/,movie,6.5,103,2020,"Horror, Sci-Fi, Thriller",13536,2020-01-25,Brandon Cronenberg
29,tt7939766,2020-09-01,2020-09-01,,I'm Thinking of Ending Things,https://www.imdb.com/title/tt7939766/,movie,6.6,134,2020,"Drama, Thriller",56476,2020-08-28,Charlie Kaufman
30,tt9231040,2020-09-01,2020-09-01,,First Cow,https://www.imdb.com/title/tt9231040/,movie,7.1,122,2019,Drama,7470,2019-08-30,Kelly Reichardt
31,tt5259822,2020-09-01,2020-09-01,,Tesla,https://www.imdb.com/title/tt5259822/,movie,5.0,102,2020,"Biography, Drama",5351,2020-01-27,Michael Almereyda
32,tt11614912,2020-09-01,2020-09-01,,She Dies Tomorrow,https://www.imdb.com/title/tt11614912/,movie,5.2,86,2020,"Comedy, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",3605,2020-07-31,Amy Seimetz
33,tt6439020,2020-09-01,2020-09-01,,The Personal History of David Copperfield,https://www.imdb.com/title/tt6439020/,movie,6.4,119,2019,"Comedy, Drama",12210,2019-09-05,Armando Iannucci
34,tt8228288,2020-09-01,2020-09-01,,El hoyo,https://www.imdb.com/title/tt8228288/,movie,7.0,94,2019,"Horror, Sci-Fi, Thriller",160953,2019-09-06,Galder Gaztelu-Urrutia
35,tt5073642,2020-09-01,2020-09-01,,Color Out of Space,https://www.imdb.com/title/tt5073642/,movie,6.2,111,2019,"Horror, Mystery, Sci-Fi, Thriller",31610,2019-09-07,Richard Stanley
36,tt8368406,2020-09-01,2020-09-01,,Vivarium,https://www.imdb.com/title/tt8368406/,movie,5.8,97,2019,"Comedy, Horror, Mystery, Sci-Fi",37126,2019-05-18,Lorcan Finnegan
37,tt8372298,2020-09-01,2020-09-01,,Swallow,https://www.imdb.com/title/tt8372298/,movie,6.4,94,2019,"Drama, Mystery, Thriller",14132,2019-04-28,Carlo Mirabella-Davis
38,tt12749596,2020-09-01,2020-09-01,,Host,https://www.imdb.com/title/tt12749596/,movie,6.6,57,2020,"Horror, Mystery",13158,2020-07-30,Rob Savage
39,tt11388406,2020-09-01,2020-09-01,,Horse Girl,https://www.imdb.com/title/tt11388406/,movie,5.9,103,2020,"Drama, Mystery, Thriller",14183,2020-01-27,Jeff Baena
40,tt9000224,2020-09-01,2020-09-01,,The Assistant,https://www.imdb.com/title/tt9000224/,movie,6.2,87,2019,Drama,12708,2019-08-30,Kitty Green
41,tt9086228,2020-09-01,2020-09-01,,Gretel & Hansel,https://www.imdb.com/title/tt9086228/,movie,5.4,87,2020,"Fantasy, Horror, Mystery, Thriller",22449,2020-01-30,Oz Perkins
42,tt9072352,2020-09-01,2020-09-01,,Relic,https://www.imdb.com/title/tt9072352/,movie,5.9,89,2020,"Drama, Horror, Mystery, Thriller",14977,2020-01-25,Natalie Erika James
43,tt1086064,2020-09-01,2020-09-01,,Bill & Ted Face the Music,https://www.imdb.com/title/tt1086064/,movie,6.1,91,2020,"Adventure, Comedy, Music, Sci-Fi",27040,2020-08-27,Dean Parisot
44,tt8902948,2020-09-01,2020-09-01,,Tigertail,https://www.imdb.com/title/tt8902948/,movie,6.4,91,2020,Drama,2922,2020-04-10,Alan Yang
45,tt5206260,2020-09-01,2020-09-01,,The Willoughbys,https://www.imdb.com/title/tt5206260/,movie,6.4,90,2020,"Animation, Adventure, Comedy, Family",12781,2020-04-22,"Rob Lodermeier, Kris Pearn, Cory Evans"
46,tt9647768,2020-09-01,2020-09-01,,Nan fang che zhan de ju hui,https://www.imdb.com/title/tt9647768/,movie,6.8,113,2019,"Crime, Drama",4886,2019-05-18,Yi'nan Diao
47,tt3260524,2020-09-01,2020-09-01,,A Secret Love,https://www.imdb.com/title/tt3260524/,movie,7.9,81,2020,"Documentary, Drama",3290,2020-04-29,Chris Bolan
48,tt11615290,2020-09-01,2020-09-01,,Beastie Boys Story,https://www.imdb.com/title/tt11615290/,movie,7.8,119,2020,"Documentary, Biography, Music",4452,2020-04-24,Spike Jonze
49,tt9894470,2020-09-01,2020-09-01,,VFW,https://www.imdb.com/title/tt9894470/,movie,6.1,92,2019,"Action, Crime, Horror",5341,2019-09-21,Joe Begos
50,tt11905962,2020-09-01,2020-09-01,,Sputnik,https://www.imdb.com/title/tt11905962/,movie,6.4,113,2020,"Drama, Horror, Sci-Fi, Thriller",12284,2020-04-15,Egor Abramenko
